Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E1A1G1,3739,3890,3815.8333333333335,3816.5,66.75,0.237640185637841,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,13,8.433333333333334,8.0,3.0,0.32745116918910044
E1A1G4,3734,3910,3808.766666666667,3805.5,70.5,0.45355500100945356,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,17,8.666666666666666,9.0,5.0,0.360127507900327
E1A1G6,3743,3919,3820.633333333333,3826.5,68.0,0.431388581729853,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,16,8.533333333333333,9.0,6.75,0.056911979287051974
E1A1G9,3729,3894,3803.766666666667,3797.5,69.25,0.5709836404180773,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,15,8.233333333333333,7.5,4.0,0.24875599357390954
E1A4G1,3801,3970,3865.366666666667,3859.5,33.25,0.1787385670985313,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,20,8.833333333333334,9.0,6.5,0.11135421920620414
E1A4G4,3752,3958,3868.1,3878.0,73.75,0.35192703985047913,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,16,7.9,8.0,4.75,0.11451643117263388
E1A4G6,3769,3940,3864.8333333333335,3862.5,44.5,0.7508823412767054,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4,16,9.166666666666666,10.0,5.5,0.07082688608209385
E1A4G9,3786,3954,3864.8,3864.5,60.25,0.7978181071703349,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,18,9.9,10.0,4.75,0.7829631862301937
E1A6G1,3784,3932,3865.266666666667,3876.0,63.75,0.32317131486159817,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,17,8.133333333333333,7.5,6.0,0.050308713342371934
E1A6G4,3791,3946,3865.0,3858.0,62.25,0.5362851984523394,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,16,9.2,9.0,6.0,0.10244868864371709
E1A6G6,3774,3949,3865.6,3859.5,61.75,0.9355201572434501,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,16,8.533333333333333,9.0,5.0,0.45545434478473373
E1A6G9,3789,3961,3872.1666666666665,3866.5,52.25,0.8833988540249358,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4,16,9.0,9.0,5.0,0.12148404923665757
E1A9G1,3787,3926,3864.8,3864.0,46.75,0.784845656737331,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,13,8.333333333333334,8.0,3.75,0.4382300246314881
E1A9G4,3795,3953,3874.6666666666665,3875.0,32.75,0.4476774022867727,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,13,7.8,7.0,4.0,0.3126793129528349
E1A9G6,3746,3968,3867.6666666666665,3870.5,55.25,0.6141505872249099,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4,15,8.0,8.0,4.0,0.21280250381434457
E1A9G9,3803,3928,3860.8333333333335,3859.5,36.0,0.9554932865037977,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3,13,8.333333333333334,8.0,5.75,0.04681835700639308
