Filename,Sum_Rewards,Steps,Q_Difference,Significant_Increase_Index
E1A1G1T1,3801,6.0,0.0,8
E1A1G1T10,3740,6.0,0.0,5
E1A1G1T11,3883,6.0,0.0,6
E1A1G1T12,3803,6.0,0.0,9
E1A1G1T13,3890,6.0,0.0,13
E1A1G1T14,3790,6.0,0.0,6
E1A1G1T15,3751,6.0,0.0,4
E1A1G1T16,3824,6.0,0.0,10
E1A1G1T17,3773,6.0,0.0,3
E1A1G1T18,3796,6.0,0.0,6
E1A1G1T19,3797,6.0,0.0,8
E1A1G1T2,3848,6.0,0.0,8
E1A1G1T20,3837,6.0,0.0,11
E1A1G1T21,3791,6.0,0.0,10
E1A1G1T22,3742,6.0,0.0,9
E1A1G1T23,3739,6.0,0.0,7
E1A1G1T24,3789,6.0,0.0,8
E1A1G1T25,3765,6.0,0.0,8
E1A1G1T26,3818,6.0,0.0,4
E1A1G1T27,3861,6.0,0.0,8
E1A1G1T28,3853,6.0,0.0,13
E1A1G1T29,3815,6.0,0.0,8
E1A1G1T3,3864,6.0,0.0,10
E1A1G1T30,3857,6.0,0.0,12
E1A1G1T4,3845,6.0,0.0,7
E1A1G1T5,3859,6.0,0.0,9
E1A1G1T6,3873,6.0,0.0,10
E1A1G1T7,3772,6.0,0.0,12
E1A1G1T8,3877,6.0,0.0,8
E1A1G1T9,3822,6.0,0.0,13
E1A1G4T1,3798,6.0,0.0,12
E1A1G4T10,3762,6.0,0.0,9
E1A1G4T11,3752,6.0,0.0,7
E1A1G4T12,3766,6.0,0.0,7
E1A1G4T13,3898,6.0,0.0,6
E1A1G4T14,3849,6.0,0.0,7
E1A1G4T15,3868,6.0,0.0,17
E1A1G4T16,3784,6.0,0.0,4
E1A1G4T17,3766,6.0,0.0,9
E1A1G4T18,3813,6.0,0.0,5
E1A1G4T19,3756,6.0,0.0,5
E1A1G4T2,3852,6.0,0.0,9
E1A1G4T20,3858,6.0,0.0,10
E1A1G4T21,3809,6.0,0.0,14
E1A1G4T22,3835,6.0,0.0,3
E1A1G4T23,3878,6.0,0.0,12
E1A1G4T24,3821,6.0,0.0,6
E1A1G4T25,3812,6.0,0.0,8
E1A1G4T26,3791,6.0,0.0,11
E1A1G4T27,3765,6.0,0.0,14
E1A1G4T28,3803,6.0,0.0,6
E1A1G4T29,3832,6.0,0.0,13
E1A1G4T3,3808,6.0,0.0,6
E1A1G4T30,3910,6.0,0.0,9
E1A1G4T4,3745,6.0,0.0,13
E1A1G4T5,3837,6.0,0.0,9
E1A1G4T6,3797,6.0,0.0,5
E1A1G4T7,3734,6.0,0.0,9
E1A1G4T8,3761,6.0,0.0,4
E1A1G4T9,3803,6.0,0.0,11
E1A1G6T1,3793,6.0,0.0,15
E1A1G6T10,3801,6.0,0.0,12
E1A1G6T11,3772,6.0,0.0,10
E1A1G6T12,3771,6.0,0.0,9
E1A1G6T13,3756,6.0,0.0,4
E1A1G6T14,3860,6.0,0.0,8
E1A1G6T15,3743,6.0,0.0,14
E1A1G6T16,3832,6.0,0.0,3
E1A1G6T17,3834,6.0,0.0,4
E1A1G6T18,3787,6.0,0.0,6
E1A1G6T19,3784,6.0,0.0,4
E1A1G6T2,3867,6.0,0.0,11
E1A1G6T20,3881,6.0,0.0,10
E1A1G6T21,3824,6.0,0.0,12
E1A1G6T22,3864,6.0,0.0,3
E1A1G6T23,3764,6.0,0.0,5
E1A1G6T24,3870,6.0,0.0,12
E1A1G6T25,3843,6.0,0.0,10
E1A1G6T26,3919,6.0,0.0,5
E1A1G6T27,3790,6.0,0.0,5
E1A1G6T28,3764,6.0,0.0,5
E1A1G6T29,3854,6.0,0.0,10
E1A1G6T3,3833,6.0,0.0,5
E1A1G6T30,3829,6.0,0.0,12
E1A1G6T4,3856,6.0,0.0,9
E1A1G6T5,3841,6.0,0.0,14
