Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E1A1G1,348,450,405.425,405.0,26.0,0.15356747794936104,6.0,6.0,6.0,6.0,0.0,,5.034326240083186e-15,4.664843759989918e-13,5.104328949254355e-14,2.937543253011209e-14,4.814236761900964e-14,1.3187857226290076e-10,3.0,77.0,16.425,10.5,15.25,2.1074389247626453e-07
E1A1G4,368,462,407.55,407.0,29.75,0.2917227364236775,6.0,6.0,6.0,6.0,0.0,,4.299095801574282e-13,6.02835884509767e-11,1.4134883281197164e-11,1.038529353659945e-11,1.4352172770550065e-11,4.804516298796865e-05,3.0,89.0,17.275,6.0,11.0,1.9615373648605752e-08
E1A1G6,363,471,404.4,401.5,28.5,0.32450024062773175,6.0,6.0,6.0,6.0,0.0,,3.543935978012059e-12,1.279867139353241e-09,1.1207920815395344e-10,6.201957697404836e-11,8.261471541592956e-11,4.329703754340067e-11,3.0,68.0,11.875,4.0,7.25,3.609009416058154e-09
E1A1G9,361,460,413.625,412.5,26.5,0.992009037345461,6.0,6.0,6.0,6.0,0.0,,1.278782635338871e-11,3.3664655507692487e-09,4.782871432240654e-10,2.0950555179588545e-10,5.453826279477879e-10,3.1608272147638534e-09,3.0,89.0,12.475,6.0,11.25,3.5402109763573166e-09
E1A4G1,390,478,432.5,428.5,37.25,0.40767908163334443,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,55.0,10.9,6.0,10.75,2.069198345720415e-07
E1A4G4,390,499,429.9,429.0,23.75,0.06783165973477584,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,85.0,17.1,8.0,15.5,2.619709560544189e-07
E1A4G6,400,479,431.925,430.0,28.5,0.30816933208172465,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,64.0,12.95,7.5,15.25,1.2341207581320546e-06
E1A4G9,393,471,434.1,436.5,19.75,0.6430543092955769,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,63.0,11.675,4.0,13.25,2.847641954905318e-08
E1A6G1,391,474,433.125,431.5,26.0,0.5468662354961806,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,92.0,14.125,5.0,12.5,1.1544737523898456e-08
E1A6G4,373,477,433.375,435.5,32.0,0.775484773920085,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,79.0,16.125,9.5,17.75,4.467409446880906e-07
E1A6G6,379,479,434.3,436.5,29.5,0.6147996100141754,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,51.0,9.425,4.0,5.5,1.4257756390904446e-08
