Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E1A1G1,3750,3893,3823.1612903225805,3834.0,49.0,0.14670526874336465,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A1G4,3740,3907,3823.8709677419356,3826.0,57.0,0.6980873244341089,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A1G6,3717,3904,3820.2258064516127,3825.0,55.0,0.9364238826582871,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A1G9,3730,3882,3810.032258064516,3811.0,42.0,0.9928419193639503,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A4G1,3704,3852,3796.5806451612902,3806.0,40.0,0.01911501342500592,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A4G4,3727,3847,3792.9032258064517,3798.0,34.0,0.5209934071929644,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A4G6,3682,3842,3752.9032258064517,3754.0,57.0,0.45984231213965154,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A4G9,3491,3647,3553.9032258064517,3549.0,56.0,0.20021734262820062,7.0,7.0,7.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A6G1,3721,3867,3797.935483870968,3803.0,74.5,0.13332452590610833,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A6G4,3635,3803,3712.9032258064517,3701.0,50.0,0.15495293439041208,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A6G6,3561,3726,3636.1612903225805,3633.0,40.5,0.3220522313169618,6.0,7.0,6.903225806451613,7.0,0.0,1.0360759311835098e-10,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A6G9,3211,3344,3257.483870967742,3253.0,44.5,0.0048186914864154886,7.0,7.0,7.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A9G1,3588,3718,3654.9032258064517,3652.0,47.0,0.5844330681856806,6.0,7.0,6.548387096774194,7.0,1.0,1.4403479338100542e-07,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A9G4,3354,3522,3428.7096774193546,3426.0,44.5,0.7101556588384155,7.0,7.0,7.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A9G6,3145,3320,3247.3548387096776,3249.0,45.5,0.5051363129791676,7.0,7.0,7.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
E1A9G9,2629,2849,2746.967741935484,2745.0,46.0,0.48596504533544677,8.0,8.0,8.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,
