Filename,Sum_Rewards,Steps,Q_Difference
E1A1G1T1,3792,6.0,0.0
E1A1G1T10,3782,6.0,0.0
E1A1G1T11,3816,6.0,0.0
E1A1G1T12,3847,6.0,0.0
E1A1G1T13,3836,6.0,0.0
E1A1G1T14,3752,6.0,0.0
E1A1G1T15,3847,6.0,0.0
E1A1G1T16,3829,6.0,0.0
E1A1G1T17,3869,6.0,0.0
E1A1G1T18,3823,6.0,0.0
E1A1G1T19,3837,6.0,0.0
E1A1G1T2,3834,6.0,0.0
E1A1G1T20,3804,6.0,0.0
E1A1G1T21,3846,6.0,0.0
E1A1G1T22,3750,6.0,0.0
E1A1G1T23,3847,6.0,0.0
E1A1G1T24,3771,6.0,0.0
E1A1G1T25,3865,6.0,0.0
E1A1G1T26,3843,6.0,0.0
E1A1G1T27,3812,6.0,0.0
E1A1G1T28,3778,6.0,0.0
E1A1G1T29,3756,6.0,0.0
E1A1G1T3,3775,6.0,0.0
E1A1G1T30,3807,6.0,0.0
E1A1G1T31,3830,6.0,0.0
E1A1G1T4,3853,6.0,0.0
E1A1G1T5,3847,6.0,0.0
E1A1G1T6,3873,6.0,0.0
E1A1G1T7,3893,6.0,0.0
E1A1G1T8,3864,6.0,0.0
E1A1G1T9,3840,6.0,0.0
E1A1G4T1,3785,6.0,0.0
E1A1G4T10,3813,6.0,0.0
E1A1G4T11,3849,6.0,0.0
E1A1G4T12,3836,6.0,0.0
E1A1G4T13,3826,6.0,0.0
E1A1G4T14,3885,6.0,0.0
E1A1G4T15,3829,6.0,0.0
E1A1G4T16,3907,6.0,0.0
E1A1G4T17,3821,6.0,0.0
E1A1G4T18,3836,6.0,0.0
E1A1G4T19,3778,6.0,0.0
E1A1G4T2,3869,6.0,0.0
E1A1G4T20,3880,6.0,0.0
E1A1G4T21,3844,6.0,0.0
E1A1G4T22,3839,6.0,0.0
E1A1G4T23,3867,6.0,0.0
E1A1G4T24,3880,6.0,0.0
E1A1G4T25,3800,6.0,0.0
E1A1G4T26,3761,6.0,0.0
E1A1G4T27,3774,6.0,0.0
E1A1G4T28,3817,6.0,0.0
E1A1G4T29,3740,6.0,0.0
E1A1G4T3,3806,6.0,0.0
E1A1G4T30,3826,6.0,0.0
E1A1G4T31,3762,6.0,0.0
E1A1G4T4,3905,6.0,0.0
E1A1G4T5,3850,6.0,0.0
E1A1G4T6,3811,6.0,0.0
E1A1G4T7,3827,6.0,0.0
E1A1G4T8,3745,6.0,0.0
E1A1G4T9,3772,6.0,0.0
E1A1G6T1,3827,6.0,0.0
E1A1G6T10,3840,6.0,0.0
E1A1G6T11,3878,6.0,0.0
E1A1G6T12,3825,6.0,0.0
E1A1G6T13,3865,6.0,0.0
E1A1G6T14,3738,6.0,0.0
E1A1G6T15,3834,6.0,0.0
E1A1G6T16,3849,6.0,0.0
E1A1G6T17,3807,6.0,0.0
E1A1G6T18,3826,6.0,0.0
E1A1G6T19,3789,6.0,0.0
E1A1G6T2,3887,6.0,0.0
E1A1G6T20,3795,6.0,0.0
E1A1G6T21,3814,6.0,0.0
E1A1G6T22,3837,6.0,0.0
E1A1G6T23,3717,6.0,0.0
E1A1G6T24,3875,6.0,0.0
E1A1G6T25,3904,6.0,0.0
E1A1G6T26,3809,6.0,0.0
E1A1G6T27,3809,6.0,0.0
E1A1G6T28,3834,6.0,0.0
E1A1G6T29,3753,6.0,0.0
E1A1G6T3,3793,6.0,0.0
E1A1G6T30,3788,6.0,0.0
E1A1G6T31,3777,6.0,0.0
E1A1G6T4,3804,6.0,0.0
E1A1G6T5,3849,6.0,0.0
E1A1G6T6,3850,6.0,0.0
E1A1G6T7,3869,6.0,0.0
E1A1G6T8,3760,6.0,0.0
E1A1G6T9,3825,6.0,0.0
E1A1G9T1,3808,6.0,0.0
E1A1G9T10,3837,6.0,0.0
E1A1G9T11,3815,6.0,0.0
E1A1G9T12,3882,6.0,0.0
E1A1G9T13,3834,6.0,0.0
E1A1G9T14,3793,6.0,0.0
E1A1G9T15,3801,6.0,0.0
E1A1G9T16,3821,6.0,0.0
E1A1G9T17,3805,6.0,0.0
E1A1G9T18,3730,6.0,0.0
E1A1G9T19,3857,6.0,0.0
E1A1G9T2,3834,6.0,0.0
E1A1G9T20,3791,6.0,0.0
E1A1G9T21,3761,6.0,0.0
E1A1G9T22,3793,6.0,0.0
E1A1G9T23,3813,6.0,0.0
E1A1G9T24,3811,6.0,0.0
E1A1G9T25,3783,6.0,0.0
E1A1G9T26,3822,6.0,0.0
E1A1G9T27,3765,6.0,0.0
E1A1G9T28,3843,6.0,0.0
E1A1G9T29,3868,6.0,0.0
E1A1G9T3,3833,6.0,0.0
E1A1G9T30,3784,6.0,0.0
E1A1G9T31,3853,6.0,0.0
E1A1G9T4,3785,6.0,0.0
E1A1G9T5,3829,6.0,0.0
E1A1G9T6,3811,6.0,0.0
E1A1G9T7,3792,6.0,0.0
E1A1G9T8,3794,6.0,0.0
E1A1G9T9,3763,6.0,0.0
E1A4G1T1,3779,6.0,0.0
E1A4G1T10,3803,6.0,0.0
E1A4G1T11,3783,6.0,0.0
E1A4G1T12,3806,6.0,0.0
E1A4G1T13,3766,6.0,0.0
E1A4G1T14,3788,6.0,0.0
E1A4G1T15,3814,6.0,0.0
E1A4G1T16,3820,6.0,0.0
E1A4G1T17,3838,6.0,0.0
E1A4G1T18,3819,6.0,0.0
E1A4G1T19,3852,6.0,0.0
E1A4G1T2,3726,6.0,0.0
E1A4G1T20,3790,6.0,0.0
E1A4G1T21,3766,6.0,0.0
E1A4G1T22,3788,6.0,0.0
E1A4G1T23,3819,6.0,0.0
E1A4G1T24,3822,6.0,0.0
E1A4G1T25,3799,6.0,0.0
E1A4G1T26,3837,6.0,0.0
E1A4G1T27,3751,6.0,0.0
E1A4G1T28,3817,6.0,0.0
E1A4G1T29,3828,6.0,0.0
E1A4G1T3,3836,6.0,0.0
E1A4G1T30,3820,6.0,0.0
E1A4G1T31,3821,6.0,0.0
E1A4G1T4,3808,6.0,0.0
E1A4G1T5,3819,6.0,0.0
E1A4G1T6,3781,6.0,0.0
E1A4G1T7,3778,6.0,0.0
E1A4G1T8,3704,6.0,0.0
E1A4G1T9,3716,6.0,0.0
E1A4G4T1,3786,6.0,0.0
E1A4G4T10,3804,6.0,0.0
E1A4G4T11,3800,6.0,0.0
E1A4G4T12,3814,6.0,0.0
E1A4G4T13,3798,6.0,0.0
E1A4G4T14,3742,6.0,0.0
E1A4G4T15,3835,6.0,0.0
E1A4G4T16,3794,6.0,0.0
E1A4G4T17,3805,6.0,0.0
E1A4G4T18,3842,6.0,0.0
E1A4G4T19,3833,6.0,0.0
E1A4G4T2,3788,6.0,0.0
