Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E1A1G1,378,458,421.9,422.0,22.0,0.9039549548071364,6.0,6.0,6.0,6.0,0.0,,1.1557787845992277e-07,1.7703617348478066e-07,1.5276649178939793e-07,1.52463484967506e-07,1.821363469945845e-08,0.08695645428573971,3.0,91.0,13.15,5.0,9.75,4.72008644710464e-09
E1A1G4,373,475,424.175,420.0,29.5,0.7110202795076672,6.0,6.0,6.0,6.0,0.0,,4.1969628968412174e-05,7.806307186822279e-05,6.15508338822563e-05,6.106647512356113e-05,3.4729263496542754e-06,0.000691846589405501,3.0,67.0,9.475,4.0,3.0,2.0989613510001835e-11
E1A1G6,391,477,430.2,430.5,34.5,0.28052338978970603,6.0,6.0,6.0,6.0,0.0,,0.0003777201663151,0.000517614540308,0.0004611870812051101,0.00046148497203029996,5.5882210181925024e-05,0.034862302630899455,3.0,94.0,14.975,7.0,11.0,5.743047800233467e-09
E1A1G9,377,467,422.45,420.5,21.5,0.8588974285897903,6.0,6.0,6.0,6.0,0.0,,0.0035838498738802,0.0046660883229584,0.004229167532291235,0.0042126458035962495,0.0003778317606293498,0.38886973577518924,3.0,42.0,6.95,5.0,3.25,7.780339760566995e-10
E1A4G1,384,475,417.9,413.0,22.75,0.09071685505919999,6.0,6.0,6.0,6.0,0.0,,1.4610480149738449e-07,3.867131500064006e-07,2.862086094459677e-07,2.875808024848347e-07,8.623035060797505e-08,0.21889474482261267,3.0,56.0,11.6,6.0,8.25,1.4302181296976008e-08
E1A4G4,351,431,405.825,409.5,21.75,0.0414607446847511,6.0,6.0,6.0,6.0,0.0,,0.0001286384162136,0.0002053639133971,0.0001827684463695175,0.0001843487299735,1.3512426679899991e-05,0.0007164131738752207,3.0,83.0,8.375,4.5,4.25,1.5640578179157703e-11
E1A4G6,362,437,402.35,403.5,19.5,0.8985940989827135,6.0,6.0,6.0,6.0,0.0,,0.0011942966602806,0.0017235916202182,0.0015008149626048151,0.0015015837336243001,0.00013419511143432502,0.19665377901214287,3.0,79.0,10.725,5.0,7.5,6.838402249659579e-10
E1A4G9,351,431,384.425,381.0,28.75,0.22630951418066597,6.0,7.0,6.0875,6.0,0.0,3.741970539227941e-12,0.0154527480724482,0.0208059176196307,0.017442395894805403,0.01735637239090745,0.0018623276529309007,0.14089322808409144,3.0,57.0,11.25,5.5,6.0,2.600730605668228e-09
E1A6G1,352,462,408.525,403.5,27.25,0.7316970612854516,6.0,6.0,6.0,6.0,0.0,,1.248645840603229e-07,2.340401961861436e-07,1.8983052391842196e-07,1.896755886846676e-07,3.627714072233451e-08,0.7325627450136079,3.0,65.0,11.175,4.0,8.25,6.575447065039035e-09
E1A6G4,341,432,381.9,383.0,24.0,0.8371539481683992,6.0,6.0,6.0,6.0,0.0,,0.0001253521588893,0.0001999688568958,0.00016452882395397248,0.0001620159180074,2.5546144671125003e-05,0.8828638228462775,3.0,39.0,9.157894736842104,5.0,6.25,2.3586229411286995e-07
E1A6G6,333,431,372.6,371.0,24.5,0.09697585540801956,6.0,7.0,6.075,6.0,0.0,1.1923177269210222e-12,0.0013483406208746,0.0020857628778623,0.001621116259136885,0.0016200483994884,0.00014819544832635006,0.051751779913682364,3.0,37.0,10.35897435897436,5.0,10.5,4.969926749207492e-07
E1A6G9,296,362,335.475,338.5,25.5,0.01837282905783608,6.0,7.0,6.6,7.0,1.0,6.44306851048433e-09,0.0184173435401271,0.0249469300978574,0.0221901736974874,0.022449579021029,0.0025199347092087,0.18592898547518505,3.0,29.0,9.525,6.0,9.25,3.193716640353994e-05
E1A9G1,341,417,379.15,374.5,24.25,0.5967655012556528,6.0,7.0,6.05,6.0,0.0,3.2512410563000524e-13,5.0345724308961615e-09,1.2131963851111109e-08,8.516314807427132e-09,8.055168047490556e-09,2.6397844239268146e-09,0.3953919564386367,3.0,59.0,10.923076923076923,5.0,7.0,2.8208308358782414e-09
E1A9G4,302,373,328.8,330.0,12.75,0.1364926447053461,6.0,7.0,6.325,6.0,1.0,2.37575451342878e-09,1.23750060817033e-05,2.677556483441976e-05,1.950346994384483e-05,1.9065711225280013e-05,4.773582836445234e-06,0.7700417450097159,3.0,73.0,13.6,6.0,9.0,5.059754817414196e-09
E1A9G6,289,354,322.4,321.0,29.5,0.1850137895807744,6.0,7.0,6.9,7.0,0.0,3.74069954624535e-12,0.0002553260675284,0.0005024772509597,0.00037430978591802496,0.00036669679922855,0.00010243398600137498,0.6373567315056052,3.0,68.0,13.6,6.0,14.25,1.5557189242094122e-07
E1A9G9,259,338,290.8,289.5,21.0,0.6241322207008271,6.0,7.0,6.975,7.0,0.0,6.639886716141931e-14,0.0094885636355004,0.0200312921274541,0.013195945827787742,0.013001647823838499,0.0025354156019190745,0.17645388712556642,3.0,85.0,18.794871794871796,8.0,25.5,2.877499644123591e-07
E4A1G1,2435,2936,2705.375,2713.5,132.75,0.5269751234252671,6.0,7.0,6.925,7.0,0.0,1.1923177269210008e-12,1.664334519075525e-05,2.730579325313225e-05,2.3333255711809056e-05,2.356795443861181e-05,2.563926856051831e-06,0.04589867980572862,3.0,14.0,5.375,4.0,4.0,3.959087452707431e-06
E4A1G4,2316,2873,2702.325,2739.0,137.75,0.003435895922102002,6.0,7.0,6.975,7.0,0.0,6.639886716141931e-14,0.0011613760683159,0.002333822634724,0.00202145029490877,0.0020775878119307,0.00028076359392285,0.001311387077700868,3.0,17.0,5.875,4.5,4.0,2.139645121229395e-06
E4A1G6,2324,2862,2670.225,2697.0,170.5,0.02714365995243101,6.0,7.0,6.975,7.0,0.0,6.639886716141931e-14,0.0054509629937097,0.0099942090853425,0.008398441574208488,0.0087005088163604,0.0013248428449994243,0.01617280601497595,3.0,19.0,6.775,5.0,6.0,2.2231138100016917e-05
E4A1G9,2172,2846,2653.75,2684.5,227.25,0.0039122897843319425,7.0,7.0,7.0,7.0,0.0,,0.028647620881902,0.0488701786680168,0.04317223240591549,0.043824080963616105,0.007406513613312425,0.006729274513825197,3.0,20.0,6.65,5.0,6.0,5.802013208534248e-05
