Filename,Sum_Rewards,Steps,Difference
E1A1G1T1,416,6.0,1.1557787845992276e-07
E1A1G1T10,395,6.0,1.4295843122539335e-07
E1A1G1T11,458,6.0,1.743664809197026e-07
E1A1G1T12,428,6.0,1.5207889136870325e-07
E1A1G1T13,414,6.0,1.5658863916431898e-07
E1A1G1T14,442,6.0,1.7644432982877535e-07
E1A1G1T15,430,6.0,1.5284807856630877e-07
E1A1G1T16,423,6.0,1.4985709983122422e-07
E1A1G1T17,408,6.0,1.4913620187586635e-07
E1A1G1T18,395,6.0,1.381889005139092e-07
E1A1G1T19,423,6.0,1.4774519846718532e-07
E1A1G1T2,424,6.0,1.4841776762203892e-07
E1A1G1T20,447,6.0,1.6252479766229976e-07
E1A1G1T21,416,6.0,1.6322368668858086e-07
E1A1G1T22,415,6.0,1.5131211253557746e-07
E1A1G1T23,440,6.0,1.548694245887182e-07
E1A1G1T24,423,6.0,1.6062572850450788e-07
E1A1G1T25,435,6.0,1.592859060138363e-07
E1A1G1T26,430,6.0,1.4050120604614562e-07
E1A1G1T27,420,6.0,1.7292909488729586e-07
E1A1G1T28,392,6.0,1.4267215070180958e-07
E1A1G1T29,426,6.0,1.6623179059626493e-07
E1A1G1T3,421,6.0,1.7703617348478064e-07
E1A1G1T30,427,6.0,1.5482264455517325e-07
E1A1G1T31,419,6.0,1.404214027415036e-07
E1A1G1T32,448,6.0,1.44442965087534e-07
E1A1G1T33,421,6.0,1.5853071158010202e-07
E1A1G1T34,419,6.0,1.5940899924099357e-07
E1A1G1T35,404,6.0,1.4204900771425733e-07
E1A1G1T36,409,6.0,1.5539011554445138e-07
E1A1G1T37,417,6.0,1.5089422942591544e-07
E1A1G1T38,453,6.0,1.7590938545580302e-07
E1A1G1T39,436,6.0,1.7661950518569771e-07
E1A1G1T4,403,6.0,1.4020132409940724e-07
E1A1G1T40,449,6.0,1.69369195242629e-07
E1A1G1T5,378,6.0,1.210846673117914e-07
E1A1G1T6,435,6.0,1.5806859299974384e-07
E1A1G1T7,390,6.0,1.1824007014467715e-07
E1A1G1T8,437,6.0,1.473331841770105e-07
E1A1G1T9,410,6.0,1.4245370151606042e-07
E1A1G4T1,389,6.0,5.4613450769369585e-05
E1A1G4T10,420,6.0,6.056885878555074e-05
E1A1G4T11,398,6.0,6.25873101129698e-05
E1A1G4T12,406,6.0,6.463312649116572e-05
E1A1G4T13,446,6.0,5.796905152594373e-05
E1A1G4T14,418,6.0,6.487512863986596e-05
E1A1G4T15,420,6.0,6.142899941788163e-05
E1A1G4T16,426,6.0,6.0606150507202494e-05
E1A1G4T17,417,6.0,5.834038145449749e-05
E1A1G4T18,429,6.0,6.0703950829240644e-05
E1A1G4T19,441,6.0,6.282973702859151e-05
E1A1G4T2,434,6.0,6.693767100733261e-05
E1A1G4T20,443,6.0,6.94931244341133e-05
E1A1G4T21,463,6.0,6.0638792449925976e-05
E1A1G4T22,470,6.0,7.442399333189165e-05
E1A1G4T23,404,6.0,6.310604364267281e-05
E1A1G4T24,391,6.0,5.536691022161054e-05
E1A1G4T25,421,6.0,6.175928639806026e-05
E1A1G4T26,416,6.0,5.6839832892455636e-05
E1A1G4T27,411,6.0,5.87218539601723e-05
E1A1G4T28,440,6.0,6.173199374942477e-05
E1A1G4T29,373,6.0,4.1969628968412174e-05
E1A1G4T3,444,6.0,6.546314872076893e-05
E1A1G4T30,421,6.0,6.023450938341016e-05
E1A1G4T31,416,6.0,5.950971525528487e-05
E1A1G4T32,458,6.0,6.861664654706017e-05
E1A1G4T33,401,6.0,5.917440356397561e-05
E1A1G4T34,449,6.0,6.192275944856469e-05
E1A1G4T35,432,6.0,6.457505780054182e-05
E1A1G4T36,475,6.0,7.806307186822279e-05
E1A1G4T37,406,6.0,6.272238774007375e-05
E1A1G4T38,415,6.0,6.0534419140400833e-05
E1A1G4T39,416,6.0,5.81319207758834e-05
E1A1G4T4,438,6.0,6.223249959826096e-05
E1A1G4T40,417,6.0,5.993650360707102e-05
E1A1G4T5,466,6.0,6.206084053577802e-05
E1A1G4T6,382,6.0,5.56953956779476e-05
E1A1G4T7,415,6.0,6.037607633702552e-05
E1A1G4T8,410,6.0,6.245466497965243e-05
E1A1G4T9,430,6.0,6.018405769197809e-05
E1A1G6T1,441,6.0,0.00047891822780605
E1A1G6T10,477,6.0,0.0005015262411021499
E1A1G6T11,470,6.0,0.00051148397797055
E1A1G6T12,406,6.0,0.0004360100746241
E1A1G6T13,402,6.0,0.0003991519264508
E1A1G6T14,409,6.0,0.00041273398787945
E1A1G6T15,441,6.0,0.00048271488201015
E1A1G6T16,394,6.0,0.0004409707381377
E1A1G6T17,398,6.0,0.00043424802259235
E1A1G6T18,441,6.0,0.0004408422734751
E1A1G6T19,399,6.0,0.00038962940809315
E1A1G6T2,424,6.0,0.0004409511685278
E1A1G6T20,436,6.0,0.00044983897350805
E1A1G6T21,430,6.0,0.0004600130234132
E1A1G6T22,413,6.0,0.00044211298425205
E1A1G6T23,416,6.0,0.0004583681767453
E1A1G6T24,444,6.0,0.00047844342069905
E1A1G6T25,448,6.0,0.0004953334847862
E1A1G6T26,434,6.0,0.0004966243211373
E1A1G6T27,443,6.0,0.0004629569206474
E1A1G6T28,414,6.0,0.00039950001590474996
E1A1G6T29,451,6.0,0.000489822706249
E1A1G6T3,392,6.0,0.00038345637733195
E1A1G6T30,417,6.0,0.0004513998555534
E1A1G6T31,459,6.0,0.000517614540308
E1A1G6T32,391,6.0,0.00037772016631515
E1A1G6T33,460,6.0,0.0004965810617131
E1A1G6T34,457,6.0,0.0005037303596956
E1A1G6T35,458,6.0,0.0005087025655779
E1A1G6T36,417,6.0,0.0004570905941847
E1A1G6T37,414,6.0,0.0004400201580298
E1A1G6T38,400,6.0,0.00041649080213835004
E1A1G6T39,431,6.0,0.00047228103521325
E1A1G6T4,418,6.0,0.00048387555040605
E1A1G6T40,456,6.0,0.0005036985314145501
E1A1G6T5,460,6.0,0.0005093675847979
E1A1G6T6,429,6.0,0.00047847934707449997
E1A1G6T7,449,6.0,0.00049649825248995
E1A1G6T8,444,6.0,0.0005067378944538
E1A1G6T9,425,6.0,0.00044154361549585
E1A1G9T1,455,6.0,0.004642086942141049
E1A1G9T10,405,6.0,0.0040758942466518
E1A1G9T11,432,6.0,0.00437583260659615
E1A1G9T12,420,6.0,0.00420726290783865
E1A1G9T13,399,6.0,0.0041199410865164505
E1A1G9T14,411,6.0,0.004162075432708899
E1A1G9T15,426,6.0,0.00416813583579955
E1A1G9T16,442,6.0,0.004568811729480499
E1A1G9T17,423,6.0,0.004132195724085901
E1A1G9T18,411,6.0,0.00408518935601985
E1A1G9T19,401,6.0,0.0040432438828512
E1A1G9T2,413,6.0,0.0039206420691743505
E1A1G9T20,467,6.0,0.0046660883229584504
E1A1G9T21,406,6.0,0.004312669200981
E1A1G9T22,396,6.0,0.0035838498738802
E1A1G9T23,424,6.0,0.0041550748142837
E1A1G9T24,425,6.0,0.00455244991290875
E1A1G9T25,401,6.0,0.00390025873363335
E1A1G9T26,425,6.0,0.004276475672479799
E1A1G9T27,411,6.0,0.0039742208299730995
E1A1G9T28,465,6.0,0.0046576945959946
