Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A1G1T1,416,6.0,1.1557787845992277e-07,3.0
E1A1G1T10,395,6.0,1.4295843122539338e-07,3.0
E1A1G1T11,458,6.0,1.743664809197026e-07,8.0
E1A1G1T12,428,6.0,1.5207889136870325e-07,3.0
E1A1G1T13,414,6.0,1.56588639164319e-07,3.0
E1A1G1T14,442,6.0,1.7644432982877538e-07,3.0
E1A1G1T15,430,6.0,1.5284807856630877e-07,7.0
E1A1G1T16,423,6.0,1.4985709983122422e-07,4.0
E1A1G1T17,408,6.0,1.4913620187586638e-07,4.0
E1A1G1T18,395,6.0,1.381889005139092e-07,91.0
E1A1G1T19,423,6.0,1.4774519846718534e-07,5.0
E1A1G1T2,424,6.0,1.4841776762203892e-07,12.0
E1A1G1T20,447,6.0,1.6252479766229979e-07,6.0
E1A1G1T21,416,6.0,1.6322368668858088e-07,4.0
E1A1G1T22,415,6.0,1.5131211253557748e-07,6.0
E1A1G1T23,440,6.0,1.548694245887182e-07,4.0
E1A1G1T24,423,6.0,1.606257285045079e-07,11.0
E1A1G1T25,435,6.0,1.592859060138363e-07,10.0
E1A1G1T26,430,6.0,1.4050120604614564e-07,5.0
E1A1G1T27,420,6.0,1.729290948872959e-07,20.0
E1A1G1T28,392,6.0,1.4267215070180958e-07,18.0
E1A1G1T29,426,6.0,1.6623179059626493e-07,3.0
E1A1G1T3,421,6.0,1.7703617348478066e-07,44.0
E1A1G1T30,427,6.0,1.5482264455517325e-07,4.0
E1A1G1T31,419,6.0,1.404214027415036e-07,3.0
E1A1G1T32,448,6.0,1.44442965087534e-07,5.0
E1A1G1T33,421,6.0,1.5853071158010204e-07,23.0
E1A1G1T34,419,6.0,1.5940899924099357e-07,31.0
E1A1G1T35,404,6.0,1.4204900771425733e-07,23.0
E1A1G1T36,409,6.0,1.553901155444514e-07,3.0
E1A1G1T37,417,6.0,1.5089422942591544e-07,5.0
E1A1G1T38,453,6.0,1.7590938545580302e-07,5.0
E1A1G1T39,436,6.0,1.7661950518569774e-07,44.0
E1A1G1T4,403,6.0,1.4020132409940724e-07,3.0
E1A1G1T40,449,6.0,1.69369195242629e-07,57.0
E1A1G1T5,378,6.0,1.210846673117914e-07,5.0
E1A1G1T6,435,6.0,1.5806859299974384e-07,3.0
E1A1G1T7,390,6.0,1.1824007014467717e-07,5.0
E1A1G1T8,437,6.0,1.473331841770105e-07,26.0
E1A1G1T9,410,6.0,1.4245370151606042e-07,4.0
E1A1G4T1,389,6.0,5.461345076936959e-05,3.0
E1A1G4T10,420,6.0,6.056885878555074e-05,8.0
E1A1G4T11,398,6.0,6.25873101129698e-05,4.0
E1A1G4T12,406,6.0,6.463312649116572e-05,62.0
E1A1G4T13,446,6.0,5.796905152594373e-05,5.0
E1A1G4T14,418,6.0,6.487512863986596e-05,61.0
